sys_sch,SystemId,SystemName,SchoolName,SchoolId,Cluster,total_enroll,Grade,SingleScore,Third_Grade_Reading,Fifth_Grade_Reading,Eighth_Grade_Reading,College_Readiness,Accelerated_Course_Taking,Four_Year_Graduation_Rate,CollegeEnrollment
743107,743,Twiggs County,Jeffersonville Elementary School,107,E,365,F,56.8,,,,,,,
6821050,682,Jenkins County,Jenkins County Elementary School,1050,E,546,C,72.3,,,,,,,
682201,682,Jenkins County,Jenkins County High School,201,H,323,C,74.40000000000000,,,,51.1,51.40000000000000,72.60000000000000,
682101,682,Jenkins County,Jenkins County Middle School,101,M,234,F,55.5,,,,,,,
6671015,667,Gwinnett County,Jenkins Elementary School,1015,E,1000,B,89.5,,,,,,,
721301,721,Richmond County,Jenkins-White Elementary Charter School,301,E,387,F,53.3,,,,,,,
7895050,789,Thomasville City,Jerger Elementary School,5050,E,729,B,86.2,,,,,,,
7511050,751,Wayne County,Jesup Elementary School,1050,E,696,C,75,,,,,,,
6433052,643,Decatur County,John Johnson Elementary School,3052,E,379,C,77.60000000000000,,,,,,,
7611418,761,Atlanta Public Schools,John Lewis Invictus Academy,1418,,,,,,,,,,,
6441102,644,DeKalb County,John Robert Lewis Elementary School,1102,E,356,D,67,,,,,,,
7214562,721,Richmond County,John S. Davidson Fine Arts Magnet School,4562,MH,807,A,103.4,,,,95.80000000000000,98.30000000000000,100,
658108,658,Forsyth County,Johns Creek Elementary School,108,E,1034,A,103.5,,,,,,,
660910,660,Fulton County,Johns Creek High School,910,H,2090,A,97.60000000000000,,,,88.40000000000000,76.80000000000000,96.5,
683197,683,Johnson County,Johnson County Elementary School,197,E,499,C,78.30000000000000,,,,,,,
683201,683,Johnson County,Johnson County High School ,201,H,345,D,68.40000000000000,,,,70.5,42.5,87.7,
683101,683,Johnson County,Johnson County Middle School,101,M,255,C,77.60000000000000,,,,,,,
657102,657,Floyd County,Johnson Elementary School,102,E,511,B,84.2,,,,,,,
7064062,706,Muscogee County,Johnson Elementary School,4062,E,323,B,83.80000000000000,,,,,,,
6694752,669,Hall County,Johnson High School,4752,H,1552,B,86.60000000000000,,,,58.3,47.2,90,
7213556,721,Richmond County,Johnson Magnet School,3556,MH,703,A,95.10000000000000,,,,81.10000000000000,98.80000000000000,100,
628182,628,Cherokee County,Johnston Elementary School,182,E,568,C,79.40000000000000,,,,,,,
6443059,644,DeKalb County,Jolly Elementary School,3059,E,787,D,62.3,,,,,,,
684192,684,Jones County,Jones County High School,192,H,1571,C,77.30000000000000,,,,53.90000000000000,40.8,85.40000000000000,
7632050,763,Bremen City,Jones Elementary School,2050,E,655,-,,,,,,,,
6434052,643,Decatur County,Jones-Wheat Elementary School,4052,E,404,C,78.5,,,,,,,
6311056,631,Clayton County,Jonesboro High School,1056,H,1376,D,68.8,,,,46,36,76.80000000000000,
631106,631,Clayton County,Jonesboro Middle School,106,M,901,D,64.40000000000000,,,,,,,
726195,726,Spalding County,Jordan Hill Road Elementary School,195,E,385,C,73.60000000000000,,,,,,,
6671813,667,Gwinnett County,Jordan Middle School,1813,M,948,D,65.90000000000000,,,,,,,
7065062,706,Muscogee County,Jordan Vocational High School,5062,H,765,D,67.7,,,,31.6,21.9,75.40000000000000,
689189,689,Liberty County,Joseph Martin Elementary School,189,E,637,C,72.7,,,,,,,
7213756,721,Richmond County,Josey High School,3756,H,604,D,62.7,,,,28.4,40.6,78.40000000000000,
629112,629,Clarke County,Judia Jackson Harris Elementary School,112,E,496,F,59.7,,,,,,,
6162050,616,Bulloch County,Julia P. Bryant Elementary School,2050,E,745,C,78.30000000000000,,,,,,,
667495,667,Gwinnett County,Kanoheda Elementary School,495,E,866,B,89.10000000000000,,,,,,,
702111,702,Monroe County,Katherine B. Sutton Elementary School,111,E,504,B,88.7,,,,,,,
711110,711,Peach County,Kay Road Elementary School,110,E,522,F,55.40000000000000,,,,,,,
656196,656,Fayette County,Kedron Elementary School,196,E,585,A,95.80000000000000,,,,,,,
633187,633,Cobb County,Keheley Elementary School,187,E,510,B,88.7,,,,,,,
633103,633,Cobb County,Kell High School,103,H,1559,B,85.80000000000000,,,,66.8,55,87.90000000000000,
6444059,644,DeKalb County,Kelley Lake Elementary School,4059,E,371,C,70.7,,,,,,,
658313,658,Forsyth County,Kelly Mill Elementary School,313,E,1235,A,91.90000000000000,,,,,,,
